POA_CODE21,lon,lat
2508,150.952680664454,-34.190584905149734
2515,150.934239470464,-34.295018708967824
2516,150.9018424120371,-34.32872294368842
2517,150.90257798535043,-34.35012538193797
2518,150.89412495380193,-34.37258847770645
2519,150.88202914923974,-34.39011714028296
2525,150.84694722249867,-34.4290891607005
2526,150.7891802053713,-34.40740169124164
2527,150.75018817299076,-34.582626735269265
2528,150.85550361600008,-34.55240042199997
2529,150.8394975786472,-34.601403235275825
2530,150.76205873104746,-34.51220182400653
2533,150.7869583362472,-34.66102396860801
2534,150.78667540909075,-34.73740293342644
2535,150.68376652246303,-34.761144799693966
2536,150.1074298824094,-35.668440774808225
2537,149.9153326104235,-35.91295571091397
2538,150.29309989990705,-35.41913184731254
2539,150.3952732467705,-35.37035860127215
2540,150.48861029786477,-34.98078760005009
2541,150.59641902847656,-34.87504212430297
2545,149.8346577424717,-36.10982408274119
2546,150.00654508113368,-36.321900854209176
2548,149.88475467815996,-36.834499673297515
2549,149.81200577688358,-36.964112427617806
2550,149.68525541710045,-36.733333538007805
2551,149.84316197210362,-37.23926441330916
2555,150.74507803429591,-33.88267306673438
2556,150.72511594836624,-33.94628146678584
2557,150.7726874528619,-33.97390056519302
2558,150.8068481880543,-34.034208093356014
2559,150.7972359597919,-34.04956697059207
2560,150.81751535431127,-34.22272600975052
2563,150.75712050477068,-34.097710490357144
2564,150.89895680308982,-33.99077731440169
2565,150.85213241378636,-33.99071865777506
2566,150.83956627320765,-34.022303096183926
2567,150.75184145941097,-34.04788137183297
2568,150.72490038987416,-34.1361592867741
2569,150.7139904338369,-34.186367455716656
2570,150.58855993432525,-34.05235680921875
2571,150.65892767512398,-34.216461694551285
2572,150.51337643175415,-34.19066736189509
2573,150.5913490166308,-34.23092094005787
2574,150.65479735547112,-34.39152294000556
2575,150.3627111543088,-34.36329596676162
2576,150.5091110574423,-34.52069440239975
2577,150.37303185550783,-34.60748511716249
2578,150.2990055829195,-34.66528461420987
2579,150.09024971503058,-34.667842395684325
2580,149.7726428946097,-34.70367874847404
2581,149.2700677209878,-34.75716334943857
2582,148.80424853313818,-34.91828002503003
2583,149.3124604249044,-34.26300873485996
2584,148.65955999256528,-34.672408385043845
2585,148.56086827323168,-34.607070175296805
2586,148.78772082463757,-34.3272092723116
2587,148.33143976830831,-34.569708957250405
2588,148.11653074006347,-34.512612932132456
2590,147.95543978458406,-34.69238178605647
2594,148.14043374000516,-34.25870010954134
2600,149.11512919763436,-35.30814284408527
2601,149.10144505782043,-35.282722473095056
2602,149.13990278863272,-35.2485570709109
2603,149.1293694090365,-35.331383443471964
2604,149.15119583666672,-35.33655502633328
2605,149.09202769989437,-35.33453830135239
2606,149.08904895389887,-35.35128450344377
2607,149.09884148365452,-35.369536054653196
2609,149.19438282164427,-35.29746628773853
2611,148.7748602258637,-35.40060812200415
2612,149.1485133754455,-35.285742889281174
2614,149.06160153596178,-35.25151912356052
2615,149.0209008703806,-35.214873485724006
2617,149.0809688888882,-35.21692283355967
2618,149.04633215639114,-35.12288758632323
2619,149.2001771168173,-35.382607036948656
2620,149.14561913033606,-35.51479236805429
2621,149.44406076257766,-35.346074831248124
2622,149.8522926758782,-35.42250643141693
