"year_of_manufacture","vehicle_type","motive_power","no_vehicles"
"1956","Light rigid trucks","Hybrid electric",0
"1957","Light rigid trucks","Hybrid electric",0
"1958","Light rigid trucks","Hybrid electric",0
"1959","Light rigid trucks","Hybrid electric",0
"1960","Light rigid trucks","Hybrid electric",0
"1961","Light rigid trucks","Hybrid electric",0
"1962","Light rigid trucks","Hybrid electric",0
"1963","Light rigid trucks","Hybrid electric",0
"1964","Light rigid trucks","Hybrid electric",0
"1965","Light rigid trucks","Hybrid electric",0
"1966","Light rigid trucks","Hybrid electric",0
"1967","Light rigid trucks","Hybrid electric",0
"1968","Light rigid trucks","Hybrid electric",0
"1969","Light rigid trucks","Hybrid electric",0
"1970","Light rigid trucks","Hybrid electric",0
"1971","Light rigid trucks","Hybrid electric",0
"1972","Light rigid trucks","Hybrid electric",0
"1973","Light rigid trucks","Hybrid electric",0
"1974","Light rigid trucks","Hybrid electric",0
"1975","Light rigid trucks","Hybrid electric",0
"1976","Light rigid trucks","Hybrid electric",0
"1977","Light rigid trucks","Hybrid electric",0
"1978","Light rigid trucks","Hybrid electric",0
"1979","Light rigid trucks","Hybrid electric",0
"1980","Light rigid trucks","Hybrid electric",0
"1981","Light rigid trucks","Hybrid electric",0
"1982","Light rigid trucks","Hybrid electric",0
"1983","Light rigid trucks","Hybrid electric",0
"1984","Light rigid trucks","Hybrid electric",0
"1985","Light rigid trucks","Hybrid electric",0
"1986","Light rigid trucks","Hybrid electric",0
"1987","Light rigid trucks","Hybrid electric",0
"1988","Light rigid trucks","Hybrid electric",0
"1989","Light rigid trucks","Hybrid electric",0
"1990","Light rigid trucks","Hybrid electric",0
"1991","Light rigid trucks","Hybrid electric",0
"1992","Light rigid trucks","Hybrid electric",0
"1993","Light rigid trucks","Hybrid electric",0
"1994","Light rigid trucks","Hybrid electric",0
"1995","Light rigid trucks","Hybrid electric",0
"1996","Light rigid trucks","Hybrid electric",0
"1997","Light rigid trucks","Hybrid electric",0
"1998","Light rigid trucks","Hybrid electric",0
"1999","Light rigid trucks","Hybrid electric",0
"2000","Light rigid trucks","Hybrid electric",0
"2001","Light rigid trucks","Hybrid electric",0
"2002","Light rigid trucks","Hybrid electric",0
"2003","Light rigid trucks","Hybrid electric",0
"2004","Light rigid trucks","Hybrid electric",0
"2005","Light rigid trucks","Hybrid electric",0
"2006","Light rigid trucks","Hybrid electric",0
"2007","Light rigid trucks","Hybrid electric",0
"2008","Light rigid trucks","Hybrid electric",3
"2009","Light rigid trucks","Hybrid electric",0
"2010","Light rigid trucks","Hybrid electric",0
"2011","Light rigid trucks","Hybrid electric",0
"2012","Light rigid trucks","Hybrid electric",6
"2013","Light rigid trucks","Hybrid electric",5
"2014","Light rigid trucks","Hybrid electric",5
"2015","Light rigid trucks","Hybrid electric",0
"2016","Light rigid trucks","Hybrid electric",0
"2017","Light rigid trucks","Hybrid electric",0
"2018","Light rigid trucks","Hybrid electric",3
"2019","Light rigid trucks","Hybrid electric",0
"2020","Light rigid trucks","Hybrid electric",4
"2021","Light rigid trucks","Hybrid electric",3
"2022","Light rigid trucks","Hybrid electric",22
"2023","Light rigid trucks","Hybrid electric",301
"2024","Light rigid trucks","Hybrid electric",161
"2025","Light rigid trucks","Hybrid electric",3
"Not stated","Light rigid trucks","Hybrid electric",0
"1901","Light rigid trucks","Battery/Fuel-cell electric",0
"1902","Light rigid trucks","Battery/Fuel-cell electric",0
"1903","Light rigid trucks","Battery/Fuel-cell electric",0
"1904","Light rigid trucks","Battery/Fuel-cell electric",0
"1905","Light rigid trucks","Battery/Fuel-cell electric",0
"1906","Light rigid trucks","Battery/Fuel-cell electric",0
"1907","Light rigid trucks","Battery/Fuel-cell electric",0
"1908","Light rigid trucks","Battery/Fuel-cell electric",0
"1909","Light rigid trucks","Battery/Fuel-cell electric",0
"1910","Light rigid trucks","Battery/Fuel-cell electric",0
"1911","Light rigid trucks","Battery/Fuel-cell electric",0
"1912","Light rigid trucks","Battery/Fuel-cell electric",0
"1913","Light rigid trucks","Battery/Fuel-cell electric",0
"1914","Light rigid trucks","Battery/Fuel-cell electric",0
"1915","Light rigid trucks","Battery/Fuel-cell electric",0
"1916","Light rigid trucks","Battery/Fuel-cell electric",0
"1917","Light rigid trucks","Battery/Fuel-cell electric",0
"1918","Light rigid trucks","Battery/Fuel-cell electric",0
"1919","Light rigid trucks","Battery/Fuel-cell electric",0
"1920","Light rigid trucks","Battery/Fuel-cell electric",0
"1921","Light rigid trucks","Battery/Fuel-cell electric",0
"1922","Light rigid trucks","Battery/Fuel-cell electric",0
"1923","Light rigid trucks","Battery/Fuel-cell electric",0
"1924","Light rigid trucks","Battery/Fuel-cell electric",0
"1925","Light rigid trucks","Battery/Fuel-cell electric",0
"1926","Light rigid trucks","Battery/Fuel-cell electric",0
"1927","Light rigid trucks","Battery/Fuel-cell electric",0
"1928","Light rigid trucks","Battery/Fuel-cell electric",0
"1929","Light rigid trucks","Battery/Fuel-cell electric",0
"1930","Light rigid trucks","Battery/Fuel-cell electric",0
"1931","Light rigid trucks","Battery/Fuel-cell electric",0
"1932","Light rigid trucks","Battery/Fuel-cell electric",0
"1933","Light rigid trucks","Battery/Fuel-cell electric",0
"1934","Light rigid trucks","Battery/Fuel-cell electric",0
"1935","Light rigid trucks","Battery/Fuel-cell electric",0
"1936","Light rigid trucks","Battery/Fuel-cell electric",0
"1937","Light rigid trucks","Battery/Fuel-cell electric",0
"1938","Light rigid trucks","Battery/Fuel-cell electric",0
"1939","Light rigid trucks","Battery/Fuel-cell electric",0
"1940","Light rigid trucks","Battery/Fuel-cell electric",0
"1941","Light rigid trucks","Battery/Fuel-cell electric",0
"1942","Light rigid trucks","Battery/Fuel-cell electric",0
"1943","Light rigid trucks","Battery/Fuel-cell electric",0
"1944","Light rigid trucks","Battery/Fuel-cell electric",0
"1945","Light rigid trucks","Battery/Fuel-cell electric",0
"1946","Light rigid trucks","Battery/Fuel-cell electric",0
"1947","Light rigid trucks","Battery/Fuel-cell electric",0
"1948","Light rigid trucks","Battery/Fuel-cell electric",0
"1949","Light rigid trucks","Battery/Fuel-cell electric",0
"1950","Light rigid trucks","Battery/Fuel-cell electric",0
"1951","Light rigid trucks","Battery/Fuel-cell electric",0
"1952","Light rigid trucks","Battery/Fuel-cell electric",0
"1953","Light rigid trucks","Battery/Fuel-cell electric",0
"1954","Light rigid trucks","Battery/Fuel-cell electric",0
"1955","Light rigid trucks","Battery/Fuel-cell electric",0
"1956","Light rigid trucks","Battery/Fuel-cell electric",0
"1957","Light rigid trucks","Battery/Fuel-cell electric",0
"1958","Light rigid trucks","Battery/Fuel-cell electric",0
"1959","Light rigid trucks","Battery/Fuel-cell electric",0
"1960","Light rigid trucks","Battery/Fuel-cell electric",0
"1961","Light rigid trucks","Battery/Fuel-cell electric",0
"1962","Light rigid trucks","Battery/Fuel-cell electric",0
"1963","Light rigid trucks","Battery/Fuel-cell electric",0
"1964","Light rigid trucks","Battery/Fuel-cell electric",0
"1965","Light rigid trucks","Battery/Fuel-cell electric",0
"1966","Light rigid trucks","Battery/Fuel-cell electric",0
"1967","Light rigid trucks","Battery/Fuel-cell electric",0
"1968","Light rigid trucks","Battery/Fuel-cell electric",0
"1969","Light rigid trucks","Battery/Fuel-cell electric",0
"1970","Light rigid trucks","Battery/Fuel-cell electric",0
"1971","Light rigid trucks","Battery/Fuel-cell electric",0
"1972","Light rigid trucks","Battery/Fuel-cell electric",0
"1973","Light rigid trucks","Battery/Fuel-cell electric",0
"1974","Light rigid trucks","Battery/Fuel-cell electric",0
"1975","Light rigid trucks","Battery/Fuel-cell electric",0
"1976","Light rigid trucks","Battery/Fuel-cell electric",0
"1977","Light rigid trucks","Battery/Fuel-cell electric",0
"1978","Light rigid trucks","Battery/Fuel-cell electric",0
"1979","Light rigid trucks","Battery/Fuel-cell electric",0
"1980","Light rigid trucks","Battery/Fuel-cell electric",0
"1981","Light rigid trucks","Battery/Fuel-cell electric",0
"1982","Light rigid trucks","Battery/Fuel-cell electric",0
"1983","Light rigid trucks","Battery/Fuel-cell electric",0
"1984","Light rigid trucks","Battery/Fuel-cell electric",0
"1985","Light rigid trucks","Battery/Fuel-cell electric",0
"1986","Light rigid trucks","Battery/Fuel-cell electric",0
"1987","Light rigid trucks","Battery/Fuel-cell electric",0
"1988","Light rigid trucks","Battery/Fuel-cell electric",0
"1989","Light rigid trucks","Battery/Fuel-cell electric",0
"1990","Light rigid trucks","Battery/Fuel-cell electric",0
"1991","Light rigid trucks","Battery/Fuel-cell electric",0
"1992","Light rigid trucks","Battery/Fuel-cell electric",0
"1993","Light rigid trucks","Battery/Fuel-cell electric",0
"1994","Light rigid trucks","Battery/Fuel-cell electric",0
"1995","Light rigid trucks","Battery/Fuel-cell electric",0
"1996","Light rigid trucks","Battery/Fuel-cell electric",0
"1997","Light rigid trucks","Battery/Fuel-cell electric",0
"1998","Light rigid trucks","Battery/Fuel-cell electric",0
"1999","Light rigid trucks","Battery/Fuel-cell electric",0
"2000","Light rigid trucks","Battery/Fuel-cell electric",0
"2001","Light rigid trucks","Battery/Fuel-cell electric",0
"2002","Light rigid trucks","Battery/Fuel-cell electric",0
"2003","Light rigid trucks","Battery/Fuel-cell electric",0
"2004","Light rigid trucks","Battery/Fuel-cell electric",0
"2005","Light rigid trucks","Battery/Fuel-cell electric",0
"2006","Light rigid trucks","Battery/Fuel-cell electric",0
"2007","Light rigid trucks","Battery/Fuel-cell electric",0
"2008","Light rigid trucks","Battery/Fuel-cell electric",0
"2009","Light rigid trucks","Battery/Fuel-cell electric",0
"2010","Light rigid trucks","Battery/Fuel-cell electric",0
"2011","Light rigid trucks","Battery/Fuel-cell electric",0
"2012","Light rigid trucks","Battery/Fuel-cell electric",0
"2013","Light rigid trucks","Battery/Fuel-cell electric",0
"2014","Light rigid trucks","Battery/Fuel-cell electric",0
"2015","Light rigid trucks","Battery/Fuel-cell electric",0
"2016","Light rigid trucks","Battery/Fuel-cell electric",0
"2017","Light rigid trucks","Battery/Fuel-cell electric",3
"2018","Light rigid trucks","Battery/Fuel-cell electric",3
"2019","Light rigid trucks","Battery/Fuel-cell electric",0
"2020","Light rigid trucks","Battery/Fuel-cell electric",0
"2021","Light rigid trucks","Battery/Fuel-cell electric",0
"2022","Light rigid trucks","Battery/Fuel-cell electric",119
"2023","Light rigid trucks","Battery/Fuel-cell electric",274
"2024","Light rigid trucks","Battery/Fuel-cell electric",163
"2025","Light rigid trucks","Battery/Fuel-cell electric",0
"Not stated","Light rigid trucks","Battery/Fuel-cell electric",0
"1901","Light rigid trucks","Other",0
"1902","Light rigid trucks","Other",0
"1903","Light rigid trucks","Other",0
"1904","Light rigid trucks","Other",0
"1905","Light rigid trucks","Other",0
"1906","Light rigid trucks","Other",0
"1907","Light rigid trucks","Other",0
"1908","Light rigid trucks","Other",0
"1909","Light rigid trucks","Other",0
"1910","Light rigid trucks","Other",0
"1911","Light rigid trucks","Other",0
"1912","Light rigid trucks","Other",0
"1913","Light rigid trucks","Other",0
"1914","Light rigid trucks","Other",0
"1915","Light rigid trucks","Other",0
"1916","Light rigid trucks","Other",0
"1917","Light rigid trucks","Other",0
"1918","Light rigid trucks","Other",0
"1919","Light rigid trucks","Other",0
"1920","Light rigid trucks","Other",0
"1921","Light rigid trucks","Other",0
"1922","Light rigid trucks","Other",0
"1923","Light rigid trucks","Other",0
"1924","Light rigid trucks","Other",0
"1925","Light rigid trucks","Other",0
"1926","Light rigid trucks","Other",0
"1927","Light rigid trucks","Other",0
"1928","Light rigid trucks","Other",0
"1929","Light rigid trucks","Other",0
"1930","Light rigid trucks","Other",0
"1931","Light rigid trucks","Other",0
"1932","Light rigid trucks","Other",0
"1933","Light rigid trucks","Other",0
"1934","Light rigid trucks","Other",0
"1935","Light rigid trucks","Other",0
"1936","Light rigid trucks","Other",0
"1937","Light rigid trucks","Other",0
"1938","Light rigid trucks","Other",0
"1939","Light rigid trucks","Other",0
"1940","Light rigid trucks","Other",0
"1941","Light rigid trucks","Other",0
"1942","Light rigid trucks","Other",0
"1943","Light rigid trucks","Other",0
"1944","Light rigid trucks","Other",0
"1945","Light rigid trucks","Other",0
"1946","Light rigid trucks","Other",0
"1947","Light rigid trucks","Other",0
"1948","Light rigid trucks","Other",0
"1949","Light rigid trucks","Other",0
"1950","Light rigid trucks","Other",0
"1951","Light rigid trucks","Other",0
"1952","Light rigid trucks","Other",0
"1953","Light rigid trucks","Other",0
"1954","Light rigid trucks","Other",0
"1955","Light rigid trucks","Other",0
"1956","Light rigid trucks","Other",0
"1957","Light rigid trucks","Other",0
"1958","Light rigid trucks","Other",0
"1959","Light rigid trucks","Other",0
"1960","Light rigid trucks","Other",0
"1961","Light rigid trucks","Other",0
"1962","Light rigid trucks","Other",0
"1963","Light rigid trucks","Other",0
"1964","Light rigid trucks","Other",0
"1965","Light rigid trucks","Other",0
"1966","Light rigid trucks","Other",0
"1967","Light rigid trucks","Other",3
"1968","Light rigid trucks","Other",0
"1969","Light rigid trucks","Other",3
"1970","Light rigid trucks","Other",0
"1971","Light rigid trucks","Other",3
"1972","Light rigid trucks","Other",0
"1973","Light rigid trucks","Other",0
"1974","Light rigid trucks","Other",3
"1975","Light rigid trucks","Other",0
"1976","Light rigid trucks","Other",7
"1977","Light rigid trucks","Other",10
"1978","Light rigid trucks","Other",8
"1979","Light rigid trucks","Other",10
"1980","Light rigid trucks","Other",6
"1981","Light rigid trucks","Other",5
"1982","Light rigid trucks","Other",12
"1983","Light rigid trucks","Other",6
"1984","Light rigid trucks","Other",10
"1985","Light rigid trucks","Other",0
"1986","Light rigid trucks","Other",5
"1987","Light rigid trucks","Other",4
"1988","Light rigid trucks","Other",3
"1989","Light rigid trucks","Other",3
"1990","Light rigid trucks","Other",5
"1991","Light rigid trucks","Other",0
"1992","Light rigid trucks","Other",0
"1993","Light rigid trucks","Other",0
"1994","Light rigid trucks","Other",0
"1995","Light rigid trucks","Other",0
"1996","Light rigid trucks","Other",0
"1997","Light rigid trucks","Other",0
"1998","Light rigid trucks","Other",0
"1999","Light rigid trucks","Other",0
"2000","Light rigid trucks","Other",0
"2001","Light rigid trucks","Other",3
"2002","Light rigid trucks","Other",0
"2003","Light rigid trucks","Other",0
"2004","Light rigid trucks","Other",3
"2005","Light rigid trucks","Other",0
"2006","Light rigid trucks","Other",3
"2007","Light rigid trucks","Other",3
"2008","Light rigid trucks","Other",3
"2009","Light rigid trucks","Other",0
"2010","Light rigid trucks","Other",3
"2011","Light rigid trucks","Other",0
"2012","Light rigid trucks","Other",0
"2013","Light rigid trucks","Other",0
"2014","Light rigid trucks","Other",3
"2015","Light rigid trucks","Other",0
"2016","Light rigid trucks","Other",3
"2017","Light rigid trucks","Other",0
"2018","Light rigid trucks","Other",0
"2019","Light rigid trucks","Other",3
"2020","Light rigid trucks","Other",0
"2021","Light rigid trucks","Other",0
"2022","Light rigid trucks","Other",3
"2023","Light rigid trucks","Other",0
"2024","Light rigid trucks","Other",0
"2025","Light rigid trucks","Other",0
"Not stated","Light rigid trucks","Other",0
"1901","Heavy rigid trucks","Petrol",0
"1902","Heavy rigid trucks","Petrol",0
"1903","Heavy rigid trucks","Petrol",0
"1904","Heavy rigid trucks","Petrol",0
"1905","Heavy rigid trucks","Petrol",0
"1906","Heavy rigid trucks","Petrol",3
